m.missiontype	m.startyear	m.platform	m.missionnumber	serialnumber	nation	catchplatform	station	fixedstation	stationstartdate	stationstarttime	stationstopdate	stationstoptime	stationtype	latitudestart	longitudestart	latitudeend	longitudeend	system	area	location	bottomdepthstart	bottomdepthstop	bottomdepthmean	fishingdepthstart	fishingdepthstop	fishingdepthcount	fishingdepthmax	fishingdepthmin	fishingdepthmean	fishingdepthtemperature	gearno	sweeplength	gear	gearcount	direction	gearflow	vesselspeed	logstart	logstop	distance	gearcondition	samplequality	verticaltrawlopening	verticaltrawlopeningsd	trawldoortype	trawldoorarea	trawldoorweight	trawldoorspread	trawldoorspreadsd	wingspread	wingspreadsd	wirelength	wirediameter	wiredensity	soaktime	fishingbait	tripno	fishabundance	fishdistribution	landingsite	fishingground	vesselcount	dataquality	haulvalidity	flora	vegetationcover	visibility	waterlevel	winddirection	windspeed	clouds	sea	weather	stationcomment
4	2020	1019	9	2201	58	1019	672		21/08/2020	05:21:05	21/08/2020	05:41:52	2	70.8175	20.725	70.81483333333334	20.667333333333332	2	4	10	227.73	225.75					228.28	224.99			1625		3271	1	263.59		3.34017642341664	7968.74	7969.897	1.1570000000001528	1	1	3.44					49.66				530.0																						sjøtest
4	2020	1019	9	2202	58	1019	673		21/08/2020	06:17:24	21/08/2020	06:40:24	2	70.81433333333334	20.687666666666665	70.8175	20.743166666666667	2	4	10	226.3	228.17					228.41	226.11			1625		3271	1	68.84		2.911304347826049	7971.825	7972.941	1.1159999999999857	1	1	3.63					49.31				530.0																						sjøtest
4	2020	1019	9	2203	58	1019	674		21/08/2020	10:34:28	21/08/2020	10:55:28	2	70.82466666666667	20.831333333333333	70.833	20.883333333333333	2	4	10	227.71	227.7					228.1	224.01			1649		3271	1	66.97		3.2742857142849453	7978.027	7979.173	1.1459999999997308	1	1	4.56					48.94				530.0																						sjøtest
4	2020	1019	9	2204	58	1019	675		21/08/2020	11:29:49	21/08/2020	11:50:20	2	70.83183333333334	20.860500000000002	70.821	20.816	2	4	10	226.43	230.66					231.22	225.12			1649		3271	1	231.76		3.1671811535326273	7981.033	7982.116	1.082999999999629	1	1	4.75					48.69				530.0																						sjøtest
4	2020	1019	9	2205	58	1019	676		22/08/2020	02:24:31	22/08/2020	03:00:47	9	72.33966666666667	15.021333333333333	72.36316666666667	14.952666666666667	2	12	07	742.54	741.42				3	40.0	0.0			1616		3513	1	305.24		3.145036764705617	8126.732	8128.633	1.9009999999998397	1	1						47.755																										uten tråløye
4	2020	1019	9	2206	58	1019	677		22/08/2020	09:12:24	22/08/2020	09:55:29	9	72.4855	16.646166666666666	72.4975	16.7555	2	12	07	388.07	384.38				3	40.0	0.0			1616		3513	1	70.32		2.9621663442945714	8164.933	8167.06	2.1270000000004075	1	1	18.0					54.5																										
4	2020	1019	9	2207	58	1019	678		22/08/2020	12:08:48	22/08/2020	12:23:27	9	72.512	16.821166666666667	72.52183333333333	16.846833333333333	2	12	07	387.21	387.31					389.35	383.4			1649		3271	1	44.7		3.1290102389083563	8171.232	8171.996	0.7640000000001237	1	1	4.56					48.69				870.0																						
4	2020	1019	9	2208	58	1019	679		22/08/2020	16:17:35	22/08/2020	16:54:12	9	72.618	18.576999999999998	72.62766666666667	18.676	2	12	08	364.37	359.62				3	40.0	0.0			1616		3513	1	81.97		3.0920345926243535	8205.272	8207.159	1.886999999998807	1	1	20.0					0.13																										
4	2020	1019	9	2209	58	1019	680		22/08/2020	18:46:34	22/08/2020	19:02:04	9	72.61233333333334	18.677333333333333	72.6245	18.693666666666665	2	12	08	360.71	361.79					367.33	360.71			1649		3271	1	13.91		3.0851612903244394	8212.053	8212.85	0.7970000000004802	1	1	4.56					49.095				830.0																						
4	2020	1019	9	2210	58	1019	681		22/08/2020	23:01:56	22/08/2020	23:40:42	9	72.72433333333333	20.476	72.72983333333333	20.587833333333332	2	12	09	420.4	425.08				3	40.0	0.0			1616		3513	1	80.39		3.1480653482367766	8246.759	8248.793	2.0339999999996508	1	1	18.0					49.13																										
4	2020	1019	9	2211	58	1019	682		23/08/2020	02:21:25	23/08/2020	02:36:46	9	72.72983333333333	20.673333333333332	72.73533333333333	20.632833333333334	2	12	09	426.44	426.44					427.94	424.51			1649		3271	1	294.43		3.1231270358269785	8256.404	8257.203	0.7989999999990688	1	1	4.5					47.69				950.0																						
4	2020	1019	9	2212	58	1019	683		23/08/2020	06:31:20	23/08/2020	07:11:02	9	72.813	22.404333333333334	72.81483333333334	22.52466666666667	2	12	10	408.06	403.47				3	40.0	0.0			1616		3513	1	88.91		3.249370277077536	8291.459	8293.609	2.149999999999636	1	1	18.0					49.31																										
4	2020	1019	9	2213	58	1019	684		23/08/2020	09:20:10	23/08/2020	09:35:30	9	72.80216666666666	22.530833333333334	72.79633333333334	22.488	2	12	10	411.24	412.45					412.72	410.03			1649		3271	1	244.01		3.279130434781584	8297.616	8298.454	0.8379999999997381	1	1	4.19					50.63				940.0																						
4	2020	1019	9	2214	58	1019	685		23/08/2020	14:44:40	23/08/2020	15:19:38	9	72.88916666666667	24.348166666666668	72.89083333333333	24.453833333333332	2	12	11	425.72	430.52				3	40.0	0.0			1616		3513	1	85.19		3.2310772163962436	8334.409	8336.292	1.8829999999998106	1	1	20.0					48.0																										
4	2020	1019	9	2215	58	1019	686		23/08/2020	17:25:15	23/08/2020	17:40:19	9	72.89983333333333	24.617	72.89966666666666	24.663333333333334	2	12	11	429.52	428.0					430.98	427.86			1649		3271	1	80.39		3.281415929205626	8339.469	8340.293	0.824000000000524	1	1						49.72				950.0																						Tråløye falt ut under skyting av trål. Ingen høyde tilgjengelig for halet.
4	2020	1019	9	2216	58	1019	687		23/08/2020	20:00:27	23/08/2020	20:16:58	9	72.91783333333333	25.203666666666667	72.91733333333333	25.150333333333332	2	12	12	419.93	416.4					310.0	295.0			1738		3592	1	271.57		3.4219979818332513	8355.117	8356.059	0.9419999999990978	1	2	25.0					92.13				820.0																						Registreringshal før stasjon
4	2020	1019	9	2217	58	1019	688		23/08/2020	23:50:06	24/08/2020	00:26:19	9	72.95033333333333	26.288166666666665	72.9545	26.390333333333334	2	12	12	374.67	378.39				3	40.0	0.0			1616		3513	1	85.71		3.031753336401168	8380.857	8382.687	1.8299999999999272	1	1	18.0					48.78																										total blanding trålpose 10,64 kg, total blanding dekk 1,89 kg
4	2020	1019	9	2218	58	1019	689		24/08/2020	02:25:50	24/08/2020	02:41:09	9	72.95283333333333	26.52616666666667	72.957	26.571666666666665	2	12	12	370.07	367.34					370.17	366.29			1649		3271	1	81.69		3.3179542981491945	8386.927	8387.774	0.8469999999997527	1	1	4.19					50.69				850.0																						
4	2020	1019	9	2219	58	1019	690		24/08/2020	06:12:57	24/08/2020	07:20:16	9	72.9855	28.335333333333335	72.985	28.533166666666666	2	12	20	317.98	347.38				5	80.0	0.0			1616		3513	1	83.56		3.111562267888078	8419.019	8422.51	3.4909999999999854	1	1	19.0					49.0																										
4	2020	1019	9	2220	58	1019	691		24/08/2020	09:35:59	24/08/2020	09:52:05	9	72.9905	28.560666666666666	72.99116666666667	28.610166666666668	2	12	20	341.77	346.91					349.47	339.01			1649		3271	1	78.2		3.283229813662373	8428.338	8429.219	0.8809999999994034	1	1	4.25					50.31				840.0																						
4	2020	1019	9	2221	58	1019	692		24/08/2020	13:30:53	24/08/2020	14:31:20	9	73.00716666666666	30.256	73.01133333333334	30.436333333333334	2	13	08	239.59	240.78				5	80.0	0.0			1616		3513	1	90.25		3.168238213400414	8458.303	8461.495	3.192000000000917	1	1	20.0					57.25																										
4	2020	1019	9	2222	58	1019	693		24/08/2020	16:03:31	24/08/2020	16:18:50	9	73.01666666666667	30.463833333333334	73.02933333333333	30.46366666666667	2	13	08	246.28	238.28					247.57	237.91			1649		3271	1	346.88		3.0163220892220055	8464.468	8465.238	0.7699999999986175	1	1	4.19					49.0				600.0																						
